id,Site,Distance,WCH,TL,Tarsus,BL,BW,BD,S1.blue,S1.red
103200,C,300,140,148,41,19.4,7.4,6.8,0.290006426,0.24305568
27905,D,430,139.5,151.4,43,18.2,7.5,9,0.299066443,0.235196778
27906,D,430,143.5,152.5,41.4,18.7,7.3,8.7,0.307121646,0.231953657
27907,D,430,142,152.5,40.9,19.3,7,8.2,0.28254441,0.259649491
27908,D,430,132,151,37.8,18.5,6.9,8.7,0.305984477,0.236750802
27918,D,430,142,152,39.3,19.6,7.5,8.5,0.28054727,0.257806692
27919,D,430,135,150,39,17.9,6.9,8.4,0.307561785,0.237773795
27920,D,430,131,139,38,18,7.3,7.9,0.309096599,0.234629503
27921,D,430,138.5,144,38.6,17.6,6.6,8.5,0.282891044,0.266704627
27922,D,430,125,129,38.7,18.6,7.5,8.2,0.293615691,0.236023628
32274,D,430,136.5,150,38.9,20.7,7.1,9.3,0.310369154,0.225991962
32275,D,430,138,148.7,39.5,19,7.2,8.5,0.333508045,0.189271716
32276,D,430,130,137.7,40.3,20.5,7.1,8.2,0.289015916,0.25752082
32493,D,430,129,134,38.3,17.6,7.2,7.8,0.299439317,0.233717193
30749,D,430,132,146.4,39.1,18.7,7.3,8,0.314979924,0.229703131
23358,D,430,133.5,147,36.9,17.4,6.9,8.2,0.282625304,0.26633955
23360,D,430,131,139.2,38.8,16.8,7.3,8.4,0.278423222,0.282190112
23362,D,430,136,150,40.4,19.1,7.7,9,0.28840306,0.255169911
38233,E,640,141,158.5,42.8,19.1,8.1,9.3,0.30361616,0.263275768
144753,E,640,131,133.2,39,16.6,7.9,8.4,0.310513399,0.231510703
144732,F,760,146,157.4,43.3,19.8,8,9.8,0.235695857,0.34600334
93460,F,760,132,140,36.8,18.1,7.3,8.7,0.283689996,0.258348333
50599,F,760,140,138.4,41.2,19.2,7.6,9,0.238364148,0.353967555
38091,F,760,137,149.3,38.7,17.4,7.3,8.8,0.259936696,0.331909613
144727,F,760,139,147.6,41.2,19.6,8,9.4,0.261061624,0.344687108
38927,F,760,138,142.1,39.3,18.9,7.2,8.5,0.284547673,0.231992374
144754,F,760,138.5,144,40.6,17.6,8.3,9.2,0.309576958,0.230647229
144731,F,760,145,156.7,42.9,19.2,7.8,9,0.253871241,0.335419643
115475,F,760,136,145.6,41.5,18.1,7.2,8.6,0.248122724,0.323038699
18334,F,760,138.5,161,38.9,19.4,8.7,9.7,0.230798475,0.354892794
50600,F,760,141,149,41.6,18.7,7.4,8.9,0.269415828,0.294117631
144728,F,760,140,149,40.1,17.2,7.1,8.3,0.262472893,0.327100231
112272,F,760,148,163,41.9,19.6,8.3,10.1,0.254997596,0.316944557
144730,F,760,137,151.5,39.3,18.1,6.7,8.4,0.245681934,0.395760708
32958,G,860,135.5,140.1,39.2,18.6,6.8,8.6,0.250010712,0.348514762
33062,G,860,135,142,40.2,17.2,7.7,9.1,0.28215705,0.259867534
53626,G,860,139,148,38.3,17.7,7.9,8.9,0.232854092,0.341762098
57379,G,860,139,145,41,18,7.5,9,0.25006683,0.332663068
106846,G,860,140,147.8,41.9,18.3,6.8,9,0.242376999,0.345479365
106847,G,860,141.5,148.2,38.3,17.6,7.2,8.6,0.2381809,0.352586323
126143,G,860,144,159,41.2,20.7,7.7,9.1,0.26708693,0.277371923
144729,G,860,130.5,135.3,41.3,18.6,7.2,8,0.260492114,0.358444811
38086,H,940,135.5,158.8,38.4,19.2,7.6,9,0.250102897,0.352417488
38093,H,940,140,158,40.6,20.4,7.8,9.4,0.263266992,0.327243669
38085,H,940,135.5,145.5,37.7,19.7,8.3,9.3,0.24405849,0.357173647
38087,H,940,135,154,39.8,18.6,7.7,9.1,0.244110007,0.366309399
38095,H,940,136.5,150,40.1,18.5,7.8,8.9,0.24088458,0.373246601
38101,H,940,135.5,150.6,40.3,18.1,6.8,8.8,0.238043717,0.367730572
47666,H,940,139,156.4,41.6,18.2,7.2,8.7,0.244845183,0.34896102
47668,H,940,135,141.3,41.3,19.4,7.8,9.5,0.243113989,0.336088257
47864,H,940,143,157.5,41.5,19.8,7.5,9.3,0.244598565,0.336708468
47865,H,940,130,137.2,40.8,16.5,6.5,7.4,0.233988387,0.343180164
47866,H,940,135,144.8,39.1,17.4,6.7,8.9,0.229829816,0.337720536
67235,I,1080,135,144,37.3,18.1,7.7,8.5,0.247066605,0.345819146
35060,I,1080,156,162,42.4,19.7,8,9.6,0.26087288,0.309456622
35061,I,1080,138,152,40.1,19.9,7.5,9.2,0.252745018,0.330015281
35062,I,1080,149,157.8,41.2,19.6,8.1,9.6,0.262490947,0.308327039
35063,I,1080,144,150.9,40,18.5,7.6,8.5,0.265987211,0.313141294
35064,I,1080,149,162,43,20.2,7.7,9.3,0.245111802,0.337300907
35065,I,1080,153,157,42,19.4,7.7,9.4,0.243841704,0.323666191
35066,I,1080,141,149.3,41,18.6,8.2,9.3,0.238620944,0.334178967
35067,I,1080,140,144,40.5,19.2,7,8.5,0.239583046,0.353309888
35068,I,1080,139,146,39.4,17.4,8,8.8,0.2426437,0.331643203
35069,I,1080,144,154,42.3,19.9,7.7,8.8,0.257816185,0.309597004
35070,I,1080,141,146,40.2,19.8,7.2,9,0.267599535,0.289680367
35071,I,1080,148,162,42.5,19.3,7.4,9.2,0.252960208,0.330352035
35072,I,1080,138,142,38.5,17.7,7.1,9.3,0.25002392,0.332219557
65023,I,1080,152,163,40,19.1,8.1,8.2,0.236238551,0.339139985
65024,I,1080,142,146,42,19.9,7.8,9,0.246154933,0.341394844
65025,I,1080,132,140.5,39,17.7,7,9,0.247347518,0.339780877
72077,I,1080,144,156,41.1,18.2,8.2,9.3,0.235380224,0.394817273
72079,I,1080,141,151.5,38.3,19.1,7.4,9,0.249712249,0.324244102
34663,J,1140,148,151.5,42,19.9,7.6,9.7,0.254641154,0.314768295
38914,J,1140,150,154.5,41,19.2,7.4,9.1,0.26450792,0.306923571
38919,J,1140,138,142,40.7,18.5,7,9.3,0.258499429,0.319205905
38920,J,1140,136,148,40.6,19.2,6.8,9.1,0.249422648,0.336507985
38923,J,1140,141.5,153.4,40.5,18.1,7.6,9.3,0.247804546,0.333065979
38924,J,1140,153,160,41.6,19.3,7.9,9.8,0.266840167,0.287268034
38917,J,1140,146.5,153,40.4,19.1,7.5,10,0.256612476,0.312382597
38928,J,1140,137.5,147.9,39.4,18.2,7.3,9.1,0.282169964,0.268298682
